dpCO2 trend smalls shelf mean,dpCO2 trend small shelf std,dpCO2 trend small shelf_n,dpCO2 trend wide shelf mean,dpCO2 trend wide shelf std,dpCO2 trend wide shelf_n,region,total across-shelf,total across-shelf SD,total across-shelf_n,EksAbsolute,EksAbsoluteStd,EksAbsolute_n,GeoAbsolute,GeoAbsoluteStd,GeoAbsolute_n,StokesAbsolute,StokesAbsoluteStd,StokesAbsolute_n,proportionEks,proportionEksSD,proportionEks_n,proportionGeo,proportionGeoSD,proportionGeo_n,proportionStokes,proportionStokesSD,proportionStokes_n,percentEks,percentEksSD,percetnEks_n,percentGeo,percentGeoSD,percentGeo_n,percentStokes,percentStokesSD,percentStokes_n,k,kSD,k_n,sst,sstSD,sst_n,eks_trend,eks_trend_std,eks_trend_n,geo_trend,geo_trend_std,geo_trend_n,stokes_trend,stokes_trend_std,stokes_trend_n
1.86,1.55,169,1.81,1.37,186,North Sea (Annual),0.140820535,0.078856066,74,0.020033179,0.015819011,74,0.118089633,0.068900215,74,0.002697723,0.002686021,74,0.175765778,0.059495268,74,0.799709006,0.068935071,74,0.024525216,0.012887703,74,2.774110095,49.94663065,74,96.99590363,58.41471515,74,0.22998628,8.560221639,74,25.05108796,0.773109252,74,9.645499763,0.431055508,74,0.000368914,0.000310235,74,-8.48E-05,0.000539559,74,5.16E-06,0.000103274,74
0,0.43,86,-0.03,0.39,89,English Channel (Annual),-0.001308864,0.010298413,50,-0.002566618,0.003304584,50,-0.001734189,0.00989359,50,0.002991942,0.001597496,50,0.282150579,0.173913475,50,0.485561142,0.213139952,50,0.232288279,0.142816332,50,-51.104168,476.6548494,50,93.2217462,272.2883189,50,57.88242179,343.0729848,50,21.54318284,1.763070907,50,13.77949344,0.304576111,50,-5.87E-05,6.93E-05,50,0.0003701,0.000259317,50,0.000112298,9.88E-05,50
1.93,3.11,76,1.92,3.19,78,Mid Atlantic Bight (Annual),-0.035592907,0.177689985,60,-0.022427897,0.006662288,60,-0.013215422,0.175970685,60,5.04E-05,0.000246382,60,0.220498729,0.137057464,60,0.777182633,0.139048296,60,0.002318638,0.003221171,60,-25.44723217,68.47315873,60,125.5904746,69.82923625,60,-0.143242417,1.844126463,60,18.37133845,1.270378848,60,17.22959161,3.736859903,60,-0.000183799,0.000122972,60,-0.001726188,0.001580686,60,8.25E-06,3.39E-05,60
0.77,0.69,56,0.22,0.7,175,Coast of Japan (Annual),0.019389129,0.124331049,312,0.000141574,0.023733892,312,0.01912794,0.120596758,312,0.000119615,0.001010594,312,0.257302714,0.240542322,312,0.731198413,0.246572265,312,0.011498872,0.032398192,312,-2.922731586,361.6555851,312,102.2869358,362.9766099,312,0.63579577,10.98904113,312,14.66120862,4.526040544,314,16.18886978,5.412510563,376,5.09E-05,0.00030204,301,-0.000263693,0.002121277,301,-4.92E-06,5.09E-05,301
-0.2,0.38,27,-0.11,0.35,33,Patagonian Shelf (Annual),-0.236110306,0.221877487,25,0.022204217,0.028131715,25,-0.255277761,0.193540868,25,-0.003036762,0.003648321,25,0.092752842,0.101046201,25,0.892411205,0.10440205,25,0.014835954,0.010307243,25,-4.94971624,16.38116783,25,103.1819862,16.15693628,25,1.767730028,1.420554192,25,29.88688879,4.413614012,26,7.194973472,0.288072288,26,0.000159715,0.000143809,25,5.49E-05,0.000797102,25,0.000143121,0.000138001,25
-1.11,0.74,24,-1.44,0.94,43,Bering Sea (Annual),0.030338737,0.077223294,96,-0.000282322,0.011465114,96,0.031185872,0.080024564,96,-0.000564814,0.001754158,96,0.192670555,0.168604172,96,0.780222311,0.18602208,96,0.027107134,0.025712546,96,-309.0524654,2834.375172,96,401.1977448,2747.611937,96,7.854720537,87.2465025,96,21.715346,2.107188355,96,5.976141384,0.437169444,96,0.000125072,0.000223634,96,0.000282809,0.000685375,96,6.83E-06,0.000120819,96
2.28,1.24,22,1.57,0.95,50,Antarctic Peninsula (Annual),0.000236417,0.038185492,80,-0.017559275,0.004599035,80,0.021531031,0.039950129,80,-0.00373534,0.002106054,80,0.403697775,0.198808889,80,0.512381684,0.243025449,80,0.08392054,0.068987813,80,-134.384618,1157.93518,80,262.241488,1377.464433,80,-27.85687004,223.8558165,80,20.00131385,1.950795655,80,-0.351170987,0.113392656,80,9.14E-05,0.000276527,80,-0.000177825,0.000491888,80,6.44E-05,0.000171381,80
0.68,0.61,104,0.71,0.67,115,Labrador Sea (Annual),0.004473778,0.128887891,130,-0.020220441,0.012097135,130,0.026679409,0.140023063,130,-0.00198519,0.001796017,130,0.249768342,0.175833867,130,0.730352625,0.183527929,130,0.019879033,0.011194318,130,-1.220818719,205.5228991,130,101.8999724,213.4685104,130,-0.679153676,9.663856578,130,22.5642986,5.957821932,130,1.543476687,0.68888175,130,0.000251035,0.000457871,130,0.000961873,0.000943275,130,7.57E-07,0.000170339,130
0.11,0.12,16,0.15,0.18,25,Tasmanian Shelf (Annual),0.029641486,0.081236955,65,0.011391697,0.029585523,65,0.015821181,0.05004758,65,0.002428608,0.007270308,65,0.394114529,0.243007695,65,0.526494621,0.222187714,65,0.07939085,0.077686463,65,49.51916513,71.21176533,65,50.25148656,46.17157215,65,0.229348314,55.42240307,65,21.21609873,4.130384445,65,14.85372243,0.783638582,70,-7.57E-05,0.000167478,65,0.000482021,0.001063963,65,-0.000118412,0.000154145,65
0.38,0.52,10,0.31,0.41,42,Barents Sea (Annual),0.215494628,0.075860812,22,0.011497796,0.002940196,22,0.200956802,0.07266204,22,0.00304003,0.000895308,22,0.056261466,0.010460873,22,0.928647332,0.012971198,22,0.015091202,0.004083827,22,5.62614662,1.046087305,22,92.8647332,1.297119842,22,1.50912018,0.408382659,22,18.96453635,1.34985465,22,7.971883484,0.199530139,22,0.000197342,0.000120525,22,0.000636298,0.000606635,22,0.0001257,5.94E-05,22
0.51,0.74,18,0.7,0.7,26,South Atlantic Bight (Annual),-0.454318073,0.557206246,49,0.002379961,0.0211593,49,-0.456833714,0.546111498,49,0.000135681,0.000146143,49,0.100871763,0.177062884,49,0.898770169,0.176935612,49,0.000358069,0.000693434,49,9.353060958,18.11235621,49,90.63691569,18.11032359,49,0.01002335,0.077403653,49,12.8226063,3.279839893,49,26.5057263,0.577951534,51,2.30E-05,7.82E-05,49,0.001023022,0.001633172,49,1.06E-06,1.56E-05,49
1.95,1.22,20,1.73,0.8,29,Southern Greenland (Annual),-0.249700681,0.086422156,37,0.02120405,0.00739893,37,-0.272688574,0.086265155,37,0.001783843,0.000532266,37,0.079123095,0.045209374,37,0.91428878,0.047747803,37,0.006588125,0.003127935,37,-10.64539712,9.668826334,37,111.509067,10.27939803,37,-0.863669904,0.649461715,37,25.99742177,2.598505978,37,1.419447456,0.283259756,37,0.000476559,0.000317645,37,0.000756971,0.000957496,37,0.000160527,8.25E-05,37
0.83,1.72,27,0.97,1.23,49,Cascadian Shelf (Annual),-0.012131853,0.063086877,67,0.004427192,0.018887221,67,-0.019581176,0.044420759,67,0.003022131,0.005094855,67,0.353124573,0.205705104,67,0.517688561,0.276032794,67,0.129186865,0.086888712,67,28.38100798,333.2854227,67,51.34153984,332.4422219,67,20.27745218,40.76618032,67,16.75382317,1.950654801,67,11.64386452,0.762400603,67,0.000422599,0.000212654,67,9.84E-05,0.000785724,67,-1.61E-05,0.000104434,67
0.56,0.23,26,0.47,0.35,35,Irminger Sea (Annual),-0.013124774,0.016153962,19,-0.001978661,0.003340491,19,-0.00884768,0.016500184,19,-0.002298432,0.001051126,19,0.202910206,0.180367697,19,0.630742013,0.21662245,19,0.166347781,0.15192996,19,-22.77308502,98.93511025,19,139.4606774,205.7832383,19,-16.68759236,115.1357683,19,25.59729182,1.101734697,19,8.198275381,0.224714117,19,-0.000429521,0.000115578,19,-0.000623317,0.000297028,19,-6.46E-05,0.000121538,19
